video_name, What is in this video?, What is the person doing?, What are the people doing in the background?, Are people in the video focused or distracted?, Can you tell the mood of the person in the video?, Can you identify objects in the video?, Is anyone holding any object, what are they holding?, Are there any safety hazards in the place?, Can you tell the profession of people in the video?
6xR3o-ZxB2Q_000051_000061.mp4, ["In the video a person is seen adjusting a blue and white tie around their neck. They are wearing a black shirt and a black jacket. The person's hands are visible as they make adjustments to the tie."], ['The person is tying a tie.'], ['There are no people in the background of the image.'], ['The people in the video are focused on the task of tying a tie.'], ['The person in the video appears to be in a relaxed and casual mood.'], ['Yes the video shows a person wearing a black jacket and a blue tie.'], ['Yes the person in the image is holding a tie.'], ['There is no indication of any safety hazards in the image.'], ['There is no indication of the profession of the people in the video.']
-dxZzuZfmOo_000015_000025.mp4, ["In the video a person is seen sitting on a couch and shuffling a deck of cards. The person is wearing a dark long-sleeved shirt and light-colored pants. The couch has a patterned cushion and there is a laptop on a stand in front of the person. The person is also holding a phone in their left hand. The video appears to be focused on the person's card shuffling activity."], ['The person is shuffling a deck of cards.'], ['There are no people visible in the background of the image.'], ['The people in the video are focused on playing cards.'], ['The person in the video appears to be in a relaxed and casual mood. They are sitting on a couch holding a deck of cards and seem to be enjoying their time.'], ['Yes the video shows a person sitting on a couch and holding a deck of cards. The person is also wearing a black shirt and white pants.'], ['Yes the person in the image is holding a deck of playing cards.'], ['The image shows a person sitting on a couch with a laptop on their lap. There are no visible safety hazards in the image.'], ['No the video does not provide any information about the professions of the people.']
6hR8K8cMbaY_000079_000089.mp4, ['This video shows a group of people playing a game of dodgeball in an indoor gym. The players are wearing black shirts and holding red balls. The game appears to be in progress with players running and throwing the balls at each other. The gym has a large court with markings on the floor and there are some spectators watching the game.'], ['The person is walking across the gym.'], ['The people in the background are playing dodgeball.'], ['The people in the video are focused on the game of dodgeball.'], ['The person in the video appears to be having a good time as they are seen laughing and smiling while playing the game.'], ['Yes the video shows a group of people playing a game of dodgeball in an indoor gym. The players are wearing black shirts and holding red balls. There are also some orange cones on the ground.'], ['Yes there are people holding balls.'], ['Yes there are safety hazards in the place. The video shows that there are several red balls on the ground which could pose a tripping hazard for people walking in the area. Additionally there are people standing close to the balls which could increase the risk of accidents if someone were to trip and fall.'], ['The video does not provide any information about the profession of the people in the video.']
3I9cytr8GYE_000597_000607.mp4, ['In this video a woman is seen riding a bicycle on a driveway. She is wearing a pink shirt and black shorts and she is wearing sandals. The bicycle is yellow with pink wheels. The woman is riding the bicycle in a circular motion and she appears to be having fun.'], ['The person is riding a bicycle.'], ['The people in the background are standing and watching the woman ride the bike.'], ['The video shows people riding bikes and skateboards with some people looking at their phones while riding.'], ['The person in the video appears to be having a good time and is enjoying the ride.'], ['Yes the video shows a woman riding a bicycle a car parked in the driveway and a fence in the background.'], ['Yes the woman is holding the handlebars of the bike.'], ['Yes there is a safety hazard in the place. The woman is riding a bike on a cracked driveway which could be dangerous due to the uneven surface.'], ['The video does not provide any information about the professions of the people in the video.']
8fhNIIlBiBQ_000003_000013.mp4, ['This video shows a woman and a man preparing a pizza in a kitchen. The woman is seen adding cheese to the pizza while the man is standing next to her.'], ['The person is putting cheese on the pizza.'], ['The people in the background are preparing food.'], ['The people in the video are focused on making pizza.'], ['The person in the video appears to be happy and enjoying the process of making pizza.'], ['Yes the video shows a pizza on a table a bowl of food a knife and a spoon.'], ['Yes a woman is holding a knife in the video.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the profession of the people in the video.']
ATjfqwE9g8I_000026_000036.mp4, ['This video shows a group of people gathered outside a building. One man is seen performing a dance routine while the others watch.'], ['The person is performing a dance routine in front of a group of people.'], ['The people in the background are playing instruments.'], ['The video shows people in the background watching the man dance indicating that they are focused on the performance.'], ['The person in the video appears to be in a happy mood as they are seen smiling and laughing while playing the instrument.'], ['Yes the video shows a man in a blue shirt and white pants performing a dance routine in front of a group of people. There is also a person in a white shirt and black pants standing next to the man.'], ['Yes there is a person holding a bottle in the video.'], ['Yes there is a safety hazard in the place. A man is seen walking in front of a building with a skateboard which could potentially cause injury to himself or others if he loses control of the skateboard.'], ['The video does not provide any information about the profession of the people in the video.']
3da2_dDLqSM_000032_000042.mp4, ['In this video a baby is sitting in a high chair and is presented with a cake. The baby looks at the cake and then turns away.'], ['The person is holding a cake in front of a baby.'], ['The people in the background are standing and watching the baby.'], ['The video shows people in the background looking at the baby and the cake indicating that they are focused on the baby and the cake.'], ['The person in the video appears to be happy and excited as they are holding a cake and smiling.'], ['Yes the video shows a cake with a purple and red design a baby sitting in a high chair and a microwave oven in the background.'], ['Yes a woman is holding a cake in front of the baby.'], ['Yes there is a microwave oven in the room which can be a safety hazard if not used properly.'], ['The video does not provide any information about the professions of the people in the video.']
6jTJJSb26pM_000077_000087.mp4, ['The video shows a close-up of a person using a purple tool to groom their eyebrows.'], ['The person is using a purple tool to groom and shape their eyebrows.'], ['The people in the background are not clearly visible but they appear to be engaged in various activities. One person is holding a purple object possibly a toy or a tool while another person is holding a purple brush. The third person is holding a purple object which could be a toy or a tool as well. The fourth person is holding a purple object which could be a toy or a tool. The fifth person is holding a purple object which could be a toy or a tool. The sixth person is holding a purple object which could be a toy or a tool. The seventh person is holding a purple object which'], ['The people in the video are focused on their makeup routine as they are seen applying makeup to their eyebrows and eyes.'], ['The person in the video appears to be calm and focused on the task at hand.'], ['Yes the video shows a person using a purple pen to draw on their face.'], ['Yes the person in the image is holding a purple object. It appears to be a tool or instrument possibly related to grooming or personal care.'], ['There is no indication of any safety hazards in the image.'], ['The video does not provide any information about the professions of the people.']
8s2eucArn4Q_000000_000010.mp4, ['The video shows a boy bouncing on a trampoline.'], ['The person is bouncing on a trampoline.'], ['The people in the background are standing on a trampoline.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be having a lot of fun while bouncing on the trampoline.'], ['Yes the video shows a trampoline with a boy jumping on it. There is also a house visible in the background.'], ['Yes a person is holding a frisbee in the video.'], ['Yes there is a safety hazard in the place. The trampoline is located on a lawn and there are trees nearby. This means that there is a risk of injury if the person falls off the trampoline and hits a tree or other object.'], ['The video does not provide any information about the profession of the people in the video.']
20poXO0NG74_000007_000017.mp4, ['This video shows a group of musicians playing clarinets together. They are seated in a room with music stands in front of them and there is a piano in the background. The musicians are playing a piece of music titled "Les Misérables" arranged by Johnnie Vinson as indicated by the text on the screen.'], ['The person is playing a clarinet.'], ['The people in the background are playing clarinets.'], ['The people in the video are focused on playing their instruments.'], ['The person in the video appears to be happy and enjoying the music.'], ['Yes the video shows a group of people playing clarinets in a room. There are also chairs and a piano visible in the background.'], ['Yes the people in the image are holding clarinets.'], ['There are no visible safety hazards in the image. The room appears to be well-lit and the musicians are seated in a safe and comfortable manner.'], ['Yes the people in the video are playing clarinets.']
395DMrq2w3c_000000_000010.mp4, ['The video shows a surfer riding a wave on a surfboard. The surfer is wearing a wetsuit and is seen maneuvering the surfboard through the water. The scene captures the dynamic movement of the surfer as they ride the wave.'], ['The person is surfing on a wave.'], ['The people in the background are surfing.'], ['The people in the video are focused on surfing and enjoying the waves.'], ['The person in the video appears to be having a good time and enjoying the experience of surfing.'], ['Yes the video shows a surfer riding a wave on a surfboard.'], ['Yes there is a person holding a surfboard.'], ['Yes there are safety hazards in the place. The video shows that the waves are quite large and there are many people in the water. This can be dangerous for swimmers and surfers as there is a risk of being caught in a strong current or being hit by a wave. Additionally there is a risk of collisions between surfers and other people in the water. It is important for everyone to be aware of their surroundings and to take necessary precautions to avoid accidents.'], ['Yes the people in the video are surfers.']
